benchmark,n,time,cpu,iterations
exp_mod_normal_lpdf_data,8,876,1546,796743
exp_mod_normal_lpdf_data,16,1632,2836,429394
exp_mod_normal_lpdf_data,32,3125,5389,224278
exp_mod_normal_lpdf_data,64,6057,10372,115701
exp_mod_normal_lpdf_data,128,11944,20321,58671
exp_mod_normal_lpdf_data,256,23756,40581,29440
exp_mod_normal_lpdf_data,512,47296,80018,14794
exp_mod_normal_lpdf_data,1024,94536,159807,7391
exp_mod_normal_cdf_data,2,319,600,2194779
exp_mod_normal_cdf_data,4,514,939,1360937
exp_mod_normal_cdf_data,8,883,1550,792024
exp_mod_normal_cdf_data,16,1642,2831,426101
exp_mod_normal_cdf_data,32,3150,5367,222196
exp_mod_normal_cdf_data,64,6039,10295,115969
exp_mod_normal_cdf_data,128,11837,20187,59114
exp_mod_normal_cdf_data,256,23544,40336,29705
exp_mod_normal_cdf_data,512,47313,80171,14789
exp_mod_normal_cdf_data,1024,94185,159347,7443
exp_mod_normal_lcdf_data,2,362,645,1932873
exp_mod_normal_lcdf_data,4,589,1018,1185795
exp_mod_normal_lcdf_data,8,1043,1711,669531
exp_mod_normal_lcdf_data,16,1965,3170,356025
exp_mod_normal_lcdf_data,32,3786,6008,185169
exp_mod_normal_lcdf_data,64,7352,11633,95049
exp_mod_normal_lcdf_data,128,14521,22867,48292
exp_mod_normal_lcdf_data,256,28923,45495,24215
exp_mod_normal_lcdf_data,512,57527,89966,12192
exp_mod_normal_lcdf_data,1024,114784,179194,6097
exp_mod_normal_lccdf_data,2,357,642,1956350
exp_mod_normal_lccdf_data,4,578,1006,1213600
exp_mod_normal_lccdf_data,8,1019,1688,687744
exp_mod_normal_lccdf_data,16,1930,3129,362433
exp_mod_normal_lccdf_data,32,3713,5936,188442
exp_mod_normal_lccdf_data,64,7249,11503,96573
exp_mod_normal_lccdf_data,128,14295,22639,48656
exp_mod_normal_lccdf_data,256,28484,45043,24602
exp_mod_normal_lccdf_data,512,56610,89098,12357
exp_mod_normal_lccdf_data,1024,112795,177220,6205
exponential_lpdf,2,171,400,4093852
exponential_lpdf,4,232,606,3011499
exponential_lpdf,8,367,1017,1909062
exponential_lpdf,16,611,1823,1145653
